order_id,product_id,category_id,quantity,price_per_unit,total_profit
CA-334f4991,9df12024-cbe9-469e-9261-522d75adf6cb,5,2,85.89,28.08
CA-e5dfb9d3,ca4abb07-a669-425f-ab1e-eb8f62bb8a60,5,2,17.89,20.28
CA-7827b292,48d6237c-39aa-449c-8e0f-4782d265f12b,3,1,113.15,6.6
UK-f86b5311,6e4d2c93-ae2c-43ec-abf1-0ca9f510fd69,3,2,22.77,13.22
UK-ed5e915b,f988d314-c068-475f-98eb-3a6e2d05f58e,4,1,142.75,11.01
UK-0fb90588,744449b1-3773-41d4-be75-f2c287e1ef34,5,3,36.1,24.48
US-01a24766,eaeee4f0-8b1f-4180-8999-d18a8b51674d,4,5,123.77,13.45
AU-3323636f,0e12c933-d08e-4a0d-bba0-87a443b761b7,3,2,48.32,24.54
AU-bb68ff1b,ec9e16f3-8462-4056-b8ed-7b2cfa2efb7b,1,4,91.0,32.16
AU-5ae00981,502d6648-6f3c-4e86-8a5e-83f30224d470,5,3,20.69,29.58
AU-d9776ef9,d784a256-4d40-4769-887f-af5646b3326b,5,4,20.9,53.72
IN-7944831f,6cba9d95-f408-417f-803b-bbe0ad2f916f,2,2,14.91,27.9
IN-a052349a,6a451512-040c-46af-9acf-bda14c308acb,2,5,150.62,37.15
IN-6af84b31,8e3af958-95ac-436e-932f-c72922ae11e1,3,1,12.63,12.2
IN-d931dcfa,11b892a4-cec4-43bb-9c69-f966950976ad,2,3,144.14,16.29
IN-893f96c4,b29ecd9d-93c9-4c87-b16c-ba40fdb6d659,2,4,68.66,23.88
IN-71b12f5f,c5fabdbe-5c72-4ade-8f25-d397ad514772,5,2,123.1,26.36
US-397be75c,14b63453-6f66-42ee-bd60-24b31b833437,5,3,90.68,32.94
US-66aa7780,9692aac8-ad27-4ab8-b616-981c4a5e9936,4,1,81.94,13.82
US-02561d1c,d0eb14c2-8e6f-421d-a928-6dbbfa201f4b,5,4,154.16,21.08
IN-a7b8ed6c,2d6badf7-9c95-4090-bf35-1b5122f5275c,1,1,15.0,4.79
IN-a7b16ee7,98b20b88-0a8e-4831-9ea0-c4a530d7e141,5,3,125.58,6.09
IN-650abe86,fed7b2fe-c246-4549-8b24-cfadf5ac36c5,1,5,135.85,18.2
IN-dadc5bfd,a68ea970-37a2-4a95-9ebf-9f8798ea2a26,2,5,120.48,66.3
US-7591cfac,b68b741e-2df4-47ea-8be1-142408d707bd,3,3,128.37,14.97
US-65c5f4de,de01203f-5172-4f78-90a5-deae33f2d2a3,5,5,109.99,25.2
US-74d3742a,b38e34e9-9ee8-49c2-9818-e2b67ec16ca6,1,5,136.6,58.95
CA-424aab58,13c1123d-b150-4fa5-a151-ef5e7e78ef2d,2,1,12.56,7.11
CA-6c2b0c10,6bc78539-9f35-4bd8-a6af-9cb98f109394,2,3,122.24,6.51
US-a5801ebd,d3bcb5cb-ce6f-45f7-ac10-f4f2b1e46eb9,5,3,157.22,41.16
US-fd45bfb2,38615c2d-dd1b-46b1-9f6a-ebcc9742341e,4,3,157.16,22.35
US-4d0e461e,609301c4-0d75-4e34-9c64-bdfe7e24f039,2,2,129.36,22.38
US-8fe0c21c,eb389eaa-d0bd-4c77-a304-9d23bb09685e,3,3,164.27,34.83
IN-36daa798,b2da88fc-7b44-4575-babe-3358410a1076,2,4,187.15,18.0
IN-4bd4472f,65ba88d0-2e69-4617-ad4e-16980522ccb7,1,1,147.86,3.4
IN-fc9c976f,484c4604-b9a3-4fa2-9873-491450352275,3,2,167.05,7.42
US-5e5a3bb1,06f04ae9-35da-43cf-9e86-e569ec5ce722,2,1,78.47,3.36
US-bb8a0a69,d1cce051-c2b2-46e2-b822-bb6a7e93d882,4,1,15.64,6.56
AU-7dd331f3,3708b477-e0c9-4772-84f9-aecd7d9852a5,4,4,94.76,50.72
AU-0edb313f,73849eb3-4419-4944-b1f2-3ce67f027fab,5,3,175.83,31.17
CA-5e341f49,1799dfe8-663e-4675-8e9d-7aa37e14ba49,1,1,64.4,3.54
IN-767f9861,5a07eacf-fd5a-410d-89ae-c805d92aa840,3,2,16.27,17.28
AU-fc67cf8e,e391dff3-96fe-48f5-93d1-6d003b8a8b49,1,1,115.45,4.57
AU-60c40da6,b50c25ca-19b2-4f33-80f8-57e6810d407a,2,5,149.82,17.75
UK-f6b6eb62,c0867f72-6c22-4314-a8bf-5ae5153df1a2,2,5,143.21,73.8
UK-e32f193a,67ed9125-f304-4eca-9bc2-2dd9e0d9c9b5,5,5,131.06,49.85
UK-08b71554,e350f25a-deac-4404-9b58-0f1e3883dba7,4,2,37.41,22.78
AU-cb33739d,2d2601af-d652-40d0-a604-e26a1405f2e0,3,5,71.89,42.45
UK-ef113b80,1e0a599d-305a-49d5-ae74-524d656eec62,5,3,38.09,17.43
IN-6c5e3b5a,48835fdb-2af1-4396-941d-76a80666e8d1,4,2,179.1,23.46
IN-086f5f4b,6a0f24d3-d456-43c0-9f59-909dfd2a5d26,3,1,72.48,3.4
CA-00a69550,bd9f3f36-407f-40be-9183-4f02d7470f6f,3,2,86.77,17.76
CA-db037814,404a1438-7c89-462c-9b8d-94e7ae64a7a4,5,4,49.88,55.68
UK-08bc5c76,244c8dfd-e1ad-463e-b8d1-b19f07799866,2,3,158.5,16.2
US-11828205,c193f7fc-3612-46dd-97fb-3575b3836e21,5,5,58.86,48.75
US-63d26648,3bf4f230-e6f4-4d58-a173-96dd4f78dcc8,2,3,109.19,42.45
US-d7cd58f1,a5cca719-9b65-451e-8451-de310c7dddab,4,4,86.07,54.28
US-25761670,0a51f0e3-fcf3-44d9-942d-6424877cfd83,3,5,49.25,12.0
AU-5aad07e3,744449b1-3773-41d4-be75-f2c287e1ef34,5,1,173.59,8.16
AU-2ab8d108,7a3d672a-1ea5-4cf2-b655-5d1e240d2fb8,5,4,156.35,59.56
AU-b71cc1e0,9c149817-32da-4419-8039-ce1b0a9a0123,2,2,138.06,22.5
AU-c465b7b4,c93c45c3-6b78-4c88-a7ee-a9996a2bec4a,1,4,184.05,14.04
CA-06feb93d,48835fdb-2af1-4396-941d-76a80666e8d1,4,5,146.1,58.65
IN-b411217d,24a83b04-39fa-4c74-ba8f-b518afc36d06,2,2,84.12,9.52
IN-7c331e9b,26b1312a-39a8-448b-859e-83c912aae412,2,2,144.31,24.8
IN-35fd97a3,64c29f3c-6143-4047-b33a-016c7408ddc3,4,3,66.91,21.78
US-182dd461,d52040fd-5671-4f25-a36d-e68bd9b4202d,4,1,121.32,14.38
US-ea912a5f,419e7725-3c0f-4099-8340-2b512eb4f44d,5,1,24.67,12.84
US-44575b5a,b8b4ef99-34db-4c51-90fb-0431b908f4fc,3,3,183.72,20.7
US-7a51293a,99a7992a-9dbe-4a9b-8af6-c8a8da186dc4,5,4,65.61,11.8
AU-edc85ac9,d72ba69f-5dcb-4d92-a596-0bc7b138a4f3,3,4,147.55,29.28
AU-328e16e7,5a20caa1-1c57-4c01-aade-5e918b49a781,5,2,76.59,16.78
AU-599e911c,8bf4f2c1-9acf-4da7-9b93-f04110c7b4ff,3,2,84.88,4.26
UK-128cd3dd,5a9900bd-c687-4fe3-a6f3-f345560debd0,1,2,26.92,19.38
UK-8a45d429,b201260b-f4a3-4fdb-a87f-c71b7364cf86,4,2,34.99,8.3
IN-270ff26d,3b59952c-89a0-4d56-948a-4685dbeb6278,1,3,42.85,36.21
US-2f09050c,a32fb2f4-b3d2-4e09-b594-34c2df87223a,5,5,80.35,65.2
CA-319f8be4,dca4b259-6579-40fc-b4fd-2bec0d9b22c7,4,5,92.69,55.9
AU-2f1c645d,bc8163b8-bbb2-45a6-8940-2a67fb51c429,5,4,13.47,31.64
AU-c4721086,91e0a78f-8836-4aff-8e6d-a41da3385622,1,2,54.37,22.72
IN-3bd5ab01,85a09633-ccbe-4288-8720-3197a3b4774d,4,5,123.16,55.45
IN-b2070ded,6f36c155-7f05-4464-8853-b96dc6bb3f6a,2,5,187.82,20.7
IN-71423ab9,60d3c63a-d0e6-444c-919c-384f6aac0e3e,4,2,131.69,9.4
US-bfd32488,647d2f3c-5991-48da-9ee8-d0fcbd491b9c,1,3,25.52,20.88
US-66a3cf9b,1cee2235-9743-4164-97c5-264822a47477,1,4,143.03,47.08
AU-a51e35bf,5e926ff7-11d1-4d8b-8d12-aca0f1cdae0f,3,5,89.0,73.25
AU-c15c70d2,93bf09f1-caa0-4136-a56e-0161e5fafcd0,1,2,23.82,23.74
AU-cc89bb1a,72f9c0b0-4c05-406d-a13d-df2884afe66d,2,5,198.51,20.45
IN-6992e43a,e13ddf70-6ade-498b-ae4c-4d67ce01cd9e,4,5,139.94,16.95
UK-43b16edb,dfea2b27-125a-4b8e-a48f-b64aa4510d18,5,2,170.85,12.46
UK-ad434625,036c9239-6e1d-4861-8d12-04f15fc6fe07,3,4,93.71,35.56
UK-9b68ecf4,cdc523f3-77dd-4f62-976f-28674dfcbbbb,3,5,15.05,13.95
UK-83d73d6e,662dabdc-01e6-4c3c-8b6f-522554865a8c,4,2,193.94,9.22
UK-ef00a287,d8b8ddea-9f0c-460c-88eb-52ed40d3312c,3,1,16.74,13.2
UK-aba78d4c,e6e333bd-93c8-4e57-91ab-eafb57b0ed6d,4,1,111.69,6.0
UK-639966d1,d6d026b3-795a-4351-82c6-120039d70799,5,2,175.39,26.32
