order_id,order_status,shipment_date,delivery_date,return_date,return_status
CA-334f4991,In Transit,2021-04-28,2022-09-23,,Returned
CA-e5dfb9d3,Returned,2021-02-23,2020-11-13,,Not Returned
CA-7827b292,Shipped,2021-10-02,2023-05-19,,Not Returned
UK-f86b5311,Delivered,2023-07-25,2021-08-12,,Returned
UK-ed5e915b,In Transit,2020-12-25,2022-12-25,,Returned
UK-0fb90588,Shipped,2020-10-03,2022-03-01,,Not Returned
US-01a24766,Returned,2021-06-19,2022-03-13,,Not Returned
AU-3323636f,Shipped,2023-03-30,2022-06-09,,Returned
AU-bb68ff1b,Returned,2024-01-21,2021-02-22,,Not Returned
AU-5ae00981,In Transit,2023-03-17,2023-06-19,,Returned
AU-d9776ef9,In Transit,2021-06-07,2024-01-20,,Returned
IN-7944831f,Shipped,2023-02-03,2025-02-02,2021-07-08,Not Returned
IN-a052349a,Delivered,2023-06-14,2023-06-14,,Not Returned
IN-6af84b31,Returned,2023-09-22,2020-05-03,2022-08-26,Not Returned
IN-d931dcfa,Delivered,2021-06-09,2022-08-04,,Not Returned
IN-893f96c4,Shipped,2020-04-24,2021-09-22,,Returned
IN-71b12f5f,Shipped,2021-04-14,2023-02-19,,Not Returned
US-397be75c,Shipped,2024-04-24,2021-08-26,,Returned
US-66aa7780,In Transit,2022-08-21,2020-03-26,,Not Returned
US-02561d1c,In Transit,2021-07-04,2025-03-10,,Not Returned
IN-a7b8ed6c,Returned,2020-02-11,2021-01-24,,Not Returned
IN-a7b16ee7,Delivered,2021-06-26,2023-09-28,,Returned
IN-650abe86,In Transit,2021-08-29,2021-06-04,,Returned
IN-dadc5bfd,In Transit,2021-01-31,2020-11-01,,Not Returned
US-7591cfac,Delivered,2024-04-22,2022-05-20,,Returned
US-65c5f4de,Returned,2021-07-10,2024-12-26,2020-12-01,Returned
US-74d3742a,Shipped,2024-11-22,2022-01-21,,Returned
CA-424aab58,Delivered,2020-05-20,2021-06-16,,Not Returned
CA-6c2b0c10,Returned,2022-03-14,2022-10-04,,Returned
US-a5801ebd,Shipped,2024-10-03,2021-05-05,,Returned
US-fd45bfb2,Delivered,2021-12-15,2023-02-03,2021-12-07,Not Returned
US-4d0e461e,Returned,2024-12-19,2025-02-19,,Not Returned
US-8fe0c21c,Returned,2021-11-24,2024-02-29,,Not Returned
IN-36daa798,Delivered,2023-06-16,2021-08-22,,Not Returned
IN-4bd4472f,In Transit,2020-07-08,2022-03-12,,Not Returned
IN-fc9c976f,Returned,2024-08-01,2021-08-25,,Not Returned
US-5e5a3bb1,In Transit,2020-02-03,2020-03-11,,Not Returned
US-bb8a0a69,Returned,2021-05-24,2023-03-06,,Returned
AU-7dd331f3,Delivered,2023-01-01,2020-06-04,,Returned
AU-0edb313f,Returned,2024-10-20,2025-02-23,,Returned
CA-5e341f49,Delivered,2020-04-24,2025-02-02,,Returned
IN-767f9861,Shipped,2022-10-10,2025-02-28,,Returned
AU-fc67cf8e,Delivered,2020-06-21,2021-01-15,,Not Returned
AU-60c40da6,In Transit,2023-02-28,2024-03-17,,Returned
UK-f6b6eb62,Shipped,2022-05-17,2023-05-24,,Returned
UK-e32f193a,In Transit,2023-01-29,2021-11-10,,Not Returned
UK-08b71554,Returned,2022-05-09,2024-09-15,,Returned
AU-cb33739d,Shipped,2022-09-12,2024-01-28,,Returned
UK-ef113b80,Delivered,2023-11-23,2023-04-28,,Returned
IN-6c5e3b5a,Shipped,2021-12-26,2020-11-15,,Not Returned
IN-086f5f4b,Delivered,2022-08-14,2022-06-10,,Returned
CA-00a69550,Shipped,2022-12-06,2022-10-17,,Not Returned
CA-db037814,Returned,2024-12-27,2020-05-16,,Not Returned
UK-08bc5c76,Delivered,2022-07-12,2024-02-16,,Not Returned
US-11828205,Shipped,2020-10-24,2020-01-27,,Not Returned
US-63d26648,Shipped,2021-04-08,2022-08-10,,Returned
US-d7cd58f1,In Transit,2023-10-25,2020-03-26,,Returned
US-25761670,In Transit,2024-12-25,2020-01-16,,Returned
AU-5aad07e3,Delivered,2024-09-05,2025-01-06,,Not Returned
AU-2ab8d108,Shipped,2020-03-18,2024-04-15,,Not Returned
